"city_code","employment.rate2019","employment.annualgrowth.2012to15","employment.annualgrowth.2015to18","employment.annualgrowth.2018to19"
1100015,0.123512747875354,0.00202069927317967,0.00447415779409798,-0.00395304398375584
1100023,0.168083587513791,-0.00330734672930245,-0.00323239982730223,-0.00192055686116224
1100031,0.133094879518072,0.00396815132219247,0.00899217529469604,-0.00151343236129514
1100049,0.212818800595134,-0.000328241806332415,0.00284217037990317,0.00240294453533135
1100056,0.138638730625498,-0.00446978668704067,0.00210274405611962,-0.00433134964694204
1100064,0.147777358015363,0.00191474190413278,0.00923864886196891,0.0039430078582178
1100072,0.200243539439859,0.00431039854812094,0.0109784993334222,0.0400743838960506
1100080,0.0520975396868692,0.00136311901909495,-0.00535815455943316,-0.000772804754463723
1100098,0.153054920615309,0.00324430993626568,0.000628717993944927,-0.00399566134244098
1100106,0.0815827088837874,-0.00104644682775674,-0.000120781121360746,-0.00687807350268792
1100114,0.201139546112989,0.000539462020171133,0.0072173805553911,0.00827566380308961
1100122,0.230590296893052,-0.00140480333203698,0.0041004618427579,0.00593488319403612
1100130,0.0824435497987047,-0.000755130083736612,0.000931387642288645,-0.00208979035527131
1100148,0.0835205626648432,-0.00159847720030943,0.00157793741089205,0.00389790271078877
1100155,0.170806160677119,-0.00336498025080159,0.00114812162554828,0.0230626273804766
1100189,0.277277686852155,-0.00358627462085365,0.00279385324209626,0.0162303135195535
1100205,0.298651292432735,-0.0312856112995949,-0.014311980957736,-0.00558271862724069
1100254,0.135942273253977,0.00419413240667127,0.00413321815276782,0.00579646460850286
1100262,0.181987247608927,0.003046301784891,0.007651893634166,-0.00630176662690465
1100288,0.220422100330561,-0.00484342846283829,0.00709267312067632,0.0173582269804088
1100296,0.150885296381832,0.00515753515934717,-0.0052179258395498,0.0084284316126241
1100304,0.219991187133214,-0.00232074130552417,-0.00107944654743292,0.00867848702649091
1100320,0.145359704412084,-0.00756813533238452,0.0075195110764706,-0.00722849496866662
1100338,0.0645783605270902,-0.00410775885860069,-0.00163673095065197,0.00267695917614758
1100346,0.0935396572063007,-0.00139018214167749,0.00495277059520792,-0.0023712244673849
1100379,0.0820934974699796,-0.00104464134286146,0.00464096796051813,0.00202999100592881
1100403,0.066268433824902,-0.00576801585085085,-0.00320881502199507,0.000931989232302352
1100452,0.0931810157865537,0.00255121840388616,-0.0047058420613231,0.00475612429517017
1100502,0.0986179433122511,0.00536914767635254,0.00436182518175795,0.00388591268717969
1100601,0.0924558587479936,0.00389828977266517,-0.00247789173426287,0.00392597183361555
